case,time,cost,boxes
warehouse_23.txt, 0.04823803901672363, 58, 2
warehouse_27.txt, 0.08902597427368164, 50, 2
warehouse_25.txt, 6.025553941726685, 29, 2
warehouse_31.txt, 2.4519259929656982, 17, 2
warehouse_19.txt, 0.10700678825378418, 41, 2
warehouse_29.txt, 0.8398470878601074, 104, 2
warehouse_01.txt, 0.02584099769592285, 33, 4
warehouse_15.txt, 0.07198500633239746, 37, 2
warehouse_03.txt, 0.1843256950378418, 41, 2
warehouse_17.txt, 4.499490976333618, 27, 2
warehouse_13.txt, 42.01558017730713, 52, 2
warehouse_155.txt, 4.24749493598938, 284, 3
warehouse_39.txt, 0.3771049976348877, 85, 2
warehouse_11.txt, 2.128603935241699, 78, 2
warehouse_63.txt, 0.8484599590301514, 101, 2
warehouse_71.txt, 11.595937728881836, 120, 2
warehouse_67.txt, 1.0604441165924072, 37, 2
